"Acc_name","Syn"
"Coryphantha pottsiana","Coryphantha robertii"
"Coryphantha tuberculosa","Coryphantha strobiliformis"
"Echinocereus coccineus var. paucispinus","Echinocereus triglochidiatus paucispinus"
"Echinocereus coccineus var. paucispinus","Echinocereus triglochidiatus"
"Echinocereus enneacanthus var. enneacanthus","Echinocereus enneacanthus dubius"
"Glandulicactus uncinatus var. wrightii","Ancistrocactus uncinatus wrightii"
"Hamatocactus bicolor","Ferocactus setispinus"
"Hamatocactus bicolor","Thelocactus setispinus"
"Opuntia engelmannii var. lindheimeri","Opuntia lindheimeri"
"Phemeranthus aurantiacus","Talinum aurantiacum"
"Persicaria maculosa","Polygonum persicaria"
"Persicaria pensylvanica","Polygonum pensylvanicum"
"Persicaria punctata","Polygonum punctatum"
"Portulaca pilosa","Portulaca mundula"
"Equisetum hyemale var. affine","Equisetum hyemale ssp. affine"
"Fouquieria splendens","Fouquieria splendens ssp. splendens"
"Giliastrum incisum","Gilia incisa"
"Acacia farnesiana","Acacia minuta ssp. minuta"
"Cercis canadensis var. texensis","Cercis canadensis"
"Glottidium vesicarium","Sesbania vesicaria"
"Mimosa aculeaticarpa var. biuncifera","Mimosa biuncifera"
"Parkinsonia texana var. texana","Cercidium texanum"
"Vachellia rigidula","Acacia rigidula"
"Vachellia rigidula","Acacia amentacea"
"Quercus vaseyana","Quercus pungens vaseyana"
"Funastrum crispum","Sarcostemma crispum"
"Sarcostemma cynanchoides ssp. cynanchoides","Sarcostemma cynanchoides cynanchoides"
"Scutellaria drummondii var. edwardsiana","Scutellaria drummondii"
"Buchnera americana","Buchnera floridana"
"Castilleja rigida","Castilleja latebracteata"
"Maurandella antirrhiniflora","Maurandya antirrhiniflora"
"Glandularia bipinnatifida var. bipinnatifida","Glandularia bipinnatifida"
"Glandularia bipinnatifida var. bipinnatifida","Verbena bipinnatifida"
"Lantana achyranthifolia","Lantana macropoda"
"Schoenocaulon texanum","Schoenocaulon wrightii"
"Acalypha monostachya","Acalypha hederacea"
"Acalypha phleoides","Acalypha lindheimeri"
"Chamaesyce angusta","Euphorbia angusta"
"Euphorbia davidii","Euphorbia dentata"
"Jatropha dioica var. dioica","Jatropha dioica"
"Triadica sebifera","Sapium sebiferum"
"Linum berlandieri var. filifolium","Linum rigidum"
"Leptopus phyllanthoides","Andrachne phyllanthoides"
"Salix exigua","Salix thurberi"
"Allowissadula holosericea","Wissadula holosericea"
"Gaura suffulta","Gaura suffulta suffulta"
"Eleocharis montevidensis","Eleocharis palmeri"
"Schoenoplectus americanus","Scirpus americanus"
"Cenchrus spinifex","Cenchrus incertus"
"Chloris X subdolichostachya","Chloris subdolichostachya"
"Dasyochloa pulchella","Erioneuron pulchellum"
"Digitaria cognata","Leptoloma cognatum"
"Pleuraphis mutica","Hilaria mutica"
"Urochloa fasciculata","Brachiaria fasciculata"
"Platanus occidentalis","Platanus occidentalis palmeri"
"Mahonia trifoliolata","Berberis trifoliolata"
"Corydalis curvisiliqua ssp. curvisiliqua","Corydalis curvisiliqua"
"Corydalis micrantha ssp. texensis","Corydalis micrantha texensis"
"Celtis laevigata var. reticulata","Celtis reticulata"
"Rubus riograndis","Rubus trivialis duplaris"
"Marsilea vestita","Marsilea vestita ssp. vestita"
"Rhus virens var. virens","Rhus virens"
"Evolvulus alsinoides var. angustifolius","Evolvulus alsinoides hiticaulis"
"Calibrachoa parviflora","Petunia parviflora"
"Solanum ptychanthum","Solanum ptycanthum"
"Cissus trifoliata","Cissus incisa"
"Guaiacum angustifolium","Guaiacum angustifolia"
"Lontra canadensis","Lutra canadensis"
"Myotis keenii","Myotis septentrionalis"
"Perimyotis subflavus subflavus","Pipistrellus subflavus"
"Blarina brevicauda","Blarina brevicauda kirtlandi"
"Gallinago gallinago","Capella gallinago"
"Ceryle alcyon","Megaceryle alcyon"
"Certhia americana","Certhia familiaris"
"Coccothraustes vespertinus","Hesperiphona vespertina"
"Tachycineta bicolor","Iridoprocne bicolor"
"Anthus rubescens","Anthus spinoletta"
"Anaxyrus americanus americanus","Bufo americanus americanus"
"Lithobates catesbeianus","Rana catesbeiana"
"Lithobates clamitans","Rana clamitans melanota"
"Lithobates palustris","Rana palustris"
"Lithobates sylvaticus","Rana sylvatica"
"Cottus cognatus","Cottus cf. cognatus"
"Impatiens capensis","Impatiens biflora"
"Viola bicolor","Viola rafinesquei"
"Festuca pratensis","Lolium pratense"
"Asplenium rhizophyllum","Camptosorus rhizophyllus"
"Physalis longifolia var. subglabrata","Physalis subglabrata"
"Entypus unifasciatus","Entypus unifasciatus"
"Cygnus columbianus","Olor columbianus"
"Phalaropus tricolor","Steganopus tricolor"
"Scolopax minor","Philohela minor"
"Ammodramus leconteii","Ammospiza leconteii"
"Stelgidopteryx serripennis","Stelgidopteryx ruficollis"
"Poecile hudsonicus","Parus hudsonicus"
"Contopus borealis","Nuttallornis borealis"
"Picoides dorsalis","Picoides tridactylus"
"Picoides pubescens","Dendrocopos pubescens"
"Picoides villosus","Dendrocopos villosus"
"Storeria occipitomaculata occipitomaculata","Storeria occipitomaculata"
"Thamnophis sirtalis sirtalis","Thamnophis sirtalis"
"Chelydra serpentina serpentina","Chelydra serpentina"
"Chrysemys picta bellii","Chrysemys picta"
"Bufo americanus americanus","Bufo americanus"
"Pseudacris crucifer crucifer","Pseudacris crucifer"
"Rana clamitans melanota","Rana clamitans"
"Osmerus mordax","Osmerus eperlanus"
"Myoxocephalus thompsonii","Myoxocephalus quadricornis"
"Alisma triviale","Alisma plantago-aquatica"
"Potamogeton pusillus","Potamogeton berchtoldii"
"Stuckenia pectinatus","Potamogeton pectinatus"
"Osmorhiza berteroi","Osmorhiza chilensis"
"Maianthemum trifolium","Smilacina trifolia"
"Sisyrinchium montanum var. montanum","Sisyrinchium strictum"
"Coeloglossum viride var. virescens","Coeloglossum viride"
"Antennaria howellii ssp. neodioica","Antennaria neodioica"
"Antennaria howellii ssp. neodioica","Antennaria neglecta"
"Artemisia campestris var. caudata","Artemisia campestris"
"Balsamita major","Chrysanthemum balsamita"
"Doellingeria umbellata","Aster umbellatus"
"Eurybia macrophylla","Aster macrophyllus"
"Leontodon taraxacoides","Leontodon leysseri"
"Matricaria discoidea","Matricaria matricarioides"
"Omalotheca sylvatica","Gnaphalium sylvaticum"
"Packera aurea","Senecio aureus"
"Packera indecora","Senecio indecorus"
"Packera paupercula","Senecio pauperculus"
"Petasites frigidus var. palmatus","Petasites frigidus"
"Sonchus arvensis ssp. uliginosus","Sonchus uliginosus"
"Symphyotrichum ciliatum","Aster ciliolatus"
"Symphyotrichum laeve","Aster laevis"
"Symphyotrichum lanceolatum","Aster lanceolatus"
"Symphyotrichum lateriflorum","Aster lateriflorus"
"Symphyotrichum puniceum","Aster puniceus"
"Symphyotrichum urophyllum","Aster urophyllus"
"Arabis X divaricarpa","Arabis di carpa"
"Neobeckia aquatica","Armoracia lacustris"
"Rorippa palustris","Rorippa islandica"
"Sinapis arvensis","Brassica kaber"
"Corispermum americanum","Corispermum hyssopifolium"
"Cerastium fontanum ssp. vulgare","Cerastium fontanum"
"Polygonum cuspidatum","Polygonum sachalinense"
"Cornus racemosa","Cornus foemina"
"Cornus sericea","Cornus stolonifera"
"Sambucus racemosa var. racemosa","Sambucus pubens"
"Viburnum opulus var. americanum","Viburnum opulus"
"Viburnum opulus var. americanum","Viburnum trilobum"
"Andromeda polifolia var. glaucophylla","Andromeda glaucophylla"
"Orthilia secunda","Pyrola secunda"
"Pyrola americana","Pyrola rotundifolia"
"Lathyrus japonicus ssp. maritimus","Lathyrus japonicus"
"Vicia sativa ssp. nigra","Vicia angustifolia"
"Alnus incana ssp. rugosa","Alnus incana"
"Alnus viridis ssp. crispa","Alnus viridis"
"Betula pumila var. glandulifera","Betula glandulifera"
"Isoetes lacustris","Isoetes macrospora"
"Clinopodium vulgare","Satureja vulgaris"
"Mentha aquatica","Mentha citrata"
"Utricularia macrorhiza","Utricularia vulgaris"
"Callitriche palustris","Callitriche verna"
"Streptopus lanceolatus var. roseus","Streptopus roseus"
"Diphasiastrum tristachyum","Lycopodium tristachyum"
"Huperzia lucidula","Lycopodium lucidulum"
"Huperzia selago","Lycopodium selago"
"Huperzia X buttersii","Lycopodium X buttersii"
"Lycopodiella inundata","Lycopodium inundatum"
"Viola blanda var. palustriformis","Viola blanda"
"Viola macloskeyi ssp. pallens","Viola macloskeyi"
"Chamerion angustifolium","Epilobium angustifolium"
"Nuphar luteum var. pumilum","Nuphar microphylla"
"Carex foenea","Carex aenea"
"Carex lasiocarpa ssp. americana","Carex lasiocarpa"
"Carex livida var. radicaulis","Carex livida"
"Carex magellanica var. irrigua","Carex paupercula"
"Carex pellita","Carex lanuginosa"
"Carex tonsa var. rugosperma","Carex rugosperma"
"Carex tonsa var. rugosperma","Carex umbellata"
"Carex tonsa var. rugosperma","Carex rugosperma tonsa"
"Eleocharis palustris","Eleocharis smallii"
"Eriophorum angustifolium ssp. subarcticum","Eriophorum angustifolium"
"Eriophorum vaginatum var. spissum","Eriophorum spissum"
"Schoenoplectus acutus","Scirpus acutus"
"Schoenoplectus pungens","Scirpus pungens"
"Schoenoplectus subterminalis","Scirpus subterminalis"
"Schoenoplectus torreyi","Scirpus torreyi"
"Trichophorum alpinum","Scirpus hudsonianus"
"Eriocaulon aquaticum","Eriocaulon septangulare"
"Juncus alpinoarticulatus","Juncus alpinoarticulatus ssp. nodulosus"
"Calamagrostis stricta ssp. inexpansa","Calamagrostis inexpansa"
"Deschampsia caespitosa","Deschampsia cespitosa"
"Dichanthelium depauperatum","Panicum depauperatum"
"Dichanthelium sabulorum","Panicum columbianum"
"Elymus trachycaulus","Agropyron trachycaulum"
"Festuca heteromalla","Festuca diffusa"
"Hierochloe hirta ssp. arctica","Hierochloe odorata"
"Pennisetum glaucum","Setaria glauca"
"Piptatherum pungens","Oryzopsis pungens"
"Sphenopholis intermedia","Sphenopholis obtusata"
"Torreyochloa pallida var. pallida","Torreyochloa pallida"
"Sparganium angustifolium","Sparganium chlorocarpum"
"Pteridium aquilinum var. latiusculum","Pteridium aquilinum"
"Phegopteris connectilis","Thelypteris phegopteris"
"Athyrium filix-femina ssp. angustum","Athyrium angustum"
"Hepatica nobilis var. obtusa","Hepatica americana"
"Ranunculus flammula","Ranunculus reptans"
"Argentina anserina","Potentilla anserina"
"Comarum palustre","Potentilla palustris"
"Crataegus chrysocarpa","Crataegus laurentiana"
"Photinia floribunda","Aronia melanocarpa"
"Rosa acicularis ssp. sayi","Rosa acicularis"
"Rubus idaeus ssp. strigosus","Rubus strigosus"
"Sibbaldiopsis tridentata","Potentilla tridentata"
"Urtica dioica ssp. dioica","Urtica dioica"
"Rhus hirta","Rhus typhina"
"Toxicodendron rydbergii","Rhus radicans"
"Myriophyllum sibiricum","Myriophyllum exalbescens"
"Calystegia sepium","Convolvulus sepium"
"Parthenocissus quinquefolia","Parthenocissus inserta"
"Ovis canadensis","Ovis canadensis nelsoni"
"Cervus canadensis","Cervus elaphus"
"Nyctinomops macrotis","Tadarida macrotis"
"Myotis californicus","Myotis californicus stephensi"
"Myotis thysanodes","Myotis thysanodes thysanodes"
"Perognathus flavescens","Perognathus apache"
"Ammospermophilus leucurus","Citellus leucurus"
"Neotamias rufus","Tamias rufus"
"Neotamias rufus","Eutamias quadrivittatus"
"Junco hyemalis caniceps","Junco hyemalis"
"Crotaphytus collaris","Crotaphytus collaris baileyi"
"Gambelia wislizenii","Gambelia wislizenii punctata"
"Sceloporus graciosus","Sceloporus graciosus graciosus"
"Sceloporus tristichus","Sceloporus undulatus"
"Sceloporus tristichus","Sceloporus undulatus elongatus"
"Cnemidophorus tigris","Cnemidophorus tigris septentrionalis"
"Crotalus oreganus concolor","Crotalus viridis concolor"
"Bufo woodhousii","Bufo woodhousii woodhousii"
"Rana pipiens","Rana pipiens pipiens"
"Spea intermontana","Scaphiopus intermontanus"
"Catostomus discobolus","Pantosteus discobolus"
"Fundulus kansae","Fundulus zebrinus"
"Ameiurus natalis","Ictalurus natalis"
"Arabis perennans var. perennans","Arabis perennans"
"Chrysopsis villosa var. minor","Chrysopsis villosa minor"
"Chrysopsis villosa var. minor","Heterotheca villosa foliosa"
"Chrysopsis villosa var. minor","Chrysopsis foliosa"
"Chrysopsis villosa var. minor","Chrysopsis villosa"
"Chrysopsis villosa var. minor","Heterotheca villosa hispida"
"Chrysopsis villosa var. minor","Chrysopsis villosa hispida"
"Gilia leptomeria var. leptomeria","Gilia leptomeria"
"Habenaria sparsiflora var. sparsiflora","Habenaria sparsiflora"
"Haplopappus armerioides var. armerioides","Haplopappus armerioides"
"Suaeda torreyana var. torreyana","Suaeda torreyana"
"Zuckia brandegei var. brandegei","Zuckia brandegei"
"Zuckia brandegei var. brandegei","Zuckia brandegeei brandegeei"
"Zuckia brandegei var. brandegei","Grayia brandegei"
"Cymopterus acaulis var. fendleri","Cymopterus acaulis"
"Cymopterus purpureus var. purpureus","Cymopterus purpureus"
"Yucca harrimaniae var. harrimaniae","Yucca harrimaniae"
"Ambrosia acanthicarpa","Franseria acanthicarpa"
"Artemisia campestris var. scouleriana","Artemisia caudata"
"Artemisia ludoviciana var. albula","Artemisia ludoviciana"
"Artemisia nova var. nova","Artemisia nova"
"Artemisia tridentata var. tridentata","Artemisia tridentata"
"Aster ascendens","Aster chilensis ssp. adscendens"
"Baccharis salicina","Baccharis emoryi"
"Brickellia microphylla var. scabra","Brickellia scabra"
"Brickellia oblongifolia var. linifolia","Brickellia oblongifolia"
"Chaetopappa ericoides","Aster arenosus"
"Chrysothamnus linifolius","Chrysothamnus viscidiflorus ssp. linifolius"
"Chrysothamnus nauseosus var. consimilis","Chrysothamnus nauseosus"
"Chrysothamnus nauseosus var. graveolens","Chrysothamnus nauseosus glabratus"
"Chrysothamnus nauseosus var. graveolens","Chrysothamnus nauseosus ssp. pinifolius"
"Chrysothamnus parryi var. howardii","Chrysothamnus parryi"
"Chrysothamnus viscidiflorus var. viscidiflorus","Chrysothamnus viscidiflorus"
"Cirsium calcareum var. pulchellum","Cirsium calcareum"
"Cirsium undulatum var. undulatum","Cirsium undulatum"
"Conyza canadensis var. glabrata","Conyza canadensis"
"Crepis runcinata var. glauca","Crepis runcinata"
"Dicoria canescens ssp. canescens","Dicoria canescens"
"Encelia frutescens var. resinosa","Encelia frutescens"
"Erigeron divergens var. cinereus","Erigeron divergens"
"Erigeron pumilus var. concinnus","Erigeron pumilus"
"Erigeron utahensis var. utahensis","Erigeron utahensis"
"Euthamia occidentalis","Solidago occidentalis"
"Gaillardia pulchella","Gaillardia aristata"
"Gnaphalium wrightii","Gnaphalium canescens"
"Haplopappus rusbyi","Haplopappus drummondii"
"Helianthus annuus ssp. lenticularis","Helianthus annuus"
"Helianthus petiolaris ssp. fallax","Helianthus petiolaris"
"Hymenopappus filifolius var. cinereus","Hymenopappus filifolius"
"Hymenoxys acaulis var. arizonica","Hymenoxys acaulis"
"Hymenoxys acaulis var. ivesiana","Hymenoxys argentea"
"Lactuca tatarica var. pulchella","Lactuca tatarica"
"Lygodesmia grandiflora var. entrada","Lygodesmia entrada"
"Lygodesmia grandiflora var. grandiflora","Lygodesmia grandiflora"
"Machaeranthera canescens var. canescens","Aster bigelovii"
"Machaeranthera commixta","Machaeranthera bigelovii"
"Machaeranthera grindelioides var. grindelioides","Haplopappus nuttallii"
"Machaeranthera tanacetifolia","Aster tanacetifolius"
"Petradoria pumila var. pumila","Petradoria pumila"
"Petradoria pumila var. pumila","Solidago petradoria"
"Platyschkuhria integrifolia var. desertorum","Bahia nudicaulis"
"Senecio spartioides var. multicapitatus","Senecio multicapitatus"
"Solidago canadensis var. salebrosa","Solidago canadensis"
"Solidago canadensis var. salebrosa","Solidago altissima"
"Solidago velutina","Solidago sparsiflora"
"Stephanomeria tenuifolia var. tenuifolia","Stephanomeria tenuifolia"
"Xanthium strumarium var. canadense","Xanthium pensylvanicum"
"Xylorhiza confertifolia","Xylorhiza glabriuscula confertifolia"
"Xylorhiza tortifolia var. imberbis","Aster abatus"
"Xylorhiza tortifolia var. imberbis","Xylorhiza tortifolia"
"Xylorhiza venusta","Aster venustus"
"Cryptantha crassisepala var. elachantha","Cryptantha crassisepala"
"Cryptantha pterocarya var. pterocarya","Cryptantha pterocarya"
"Lappula occidentalis var. cupulata","Lappula occidentalis"
"Lappula occidentalis var. cupulata","Lappula redowskii"
"Tiquilia latior","Coldenia hispidissima"
"Phacelia crenulata var. corrugata","Phacelia crenulata"
"Arabis pulchra var. pallens","Arabis pulchra"
"Draba cuneifolia var. cuneifolia","Draba cuneifolia"
"Erysimum asperum var. purshii","Erysimum asperum"
"Lepidium alyssoides var. eastwoodiae","Lepidium montanum spathulatum"
"Lepidium densiflorum var. ramosum","Lepidium densiflorum"
"Lepidium montanum var. jonesii","Lepidium montanum"
"Nasturtium officinale","Rorippa nasturtium-aquaticum"
"Physaria acutifolia var. acutifolia","Physaria australis"
"Physaria acutifolia var. acutifolia","Physaria acutifolia"
"Thelypodium integrifolium var. gracilipes","Thelypodium integrifolium"
"Atriplex canescens var. canescens","Atriplex canescens occidentalis"
"Atriplex canescens var. canescens","Atriplex canescens"
"Atriplex gardneri var. cuneata","Atriplex cuneata"
"Atriplex garrettii var. garrettii","Atriplex garrettii"
"Bassia americana","Kochia americana"
"Bassia hyssopifolia","Echinopsilon hyssopifolium"
"Bassia scoparia","Kochia scoparia"
"Chenopodium album var. berlandieri","Chenopodium berlandieri"
"Chenopodium dessicatum","Chenopodium pratericola"
"Chenopodium dessicatum","Chenopodium dessicatum"
"Chenopodium fremontii var. fremontii","Chenopodium fremontii"
"Krascheninnikovia lanata var. lanata","Eurotia lanata"
"Krascheninnikovia lanata var. lanata","Krascheninnikovia lanata"
"Suaeda calceoliformis","Suaeda depressa"
"Echinocereus triglochidiatus var. melanacanthus","Echinocereus triglochidiatus"
"Opuntia erinacea var. erinacea","Opuntia erinacea"
"Opuntia erinacea var. utahensis","Opuntia rhodantha"
"Opuntia polyacantha var. rufispina","Opuntia hystricina"
"Sclerocactus whipplei var. roseus","Sclerocactus parviflorus"
"Sclerocactus whipplei var. roseus","Echinocactus whipplei"
"Arenaria fendleri var. eastwoodiae","Arenaria fendleri"
"Mirabilis linearis var. linearis","Mirabilis linearis"
"Mirabilis linearis var. linearis","Oxybaphus linearis"
"Tripterocalyx micranthus","Tripterocalyx pedunculatus"
"Eriogonum alatum","Eriogonum alatum ssp. brevifolium"
"Eriogonum corymbosum var. corymbosum","Eriogonum divergens"
"Eriogonum corymbosum var. corymbosum","Eriogonum corymbosum"
"Eriogonum corymbosum var. corymbosum","Eriogonum corymbosum durum"
"Eriogonum inflatum var. inflatum","Eriogonum inflatum"
"Eriogonum leptocladon var. leptocladon","Eriogonum leptocladon"
"Eriogonum microthecum var. simpsonii","Eriogonum microthecum"
"Eriogonum microthecum var. simpsonii","Eriogonum microthecum foliosum"
"Tamarix chinensis","Tamarix pentandra"
"Tamarix chinensis","Tamarix ramosissima"
"Mentzelia pumila var. lagarosa","Mentzelia pumila"
"Sambucus racemosa var. microbotrys","Sambucus racemosa"
"Symphoricarpos oreophilus var. utahensis","Symphoricarpos oreophilus"
"Ephedra viridis var. viridis","Ephedra viridis"
"Equisetum laevigatum","Equisetum kansanum"
"Ipomopsis aggregata var. aggregata","Ipomopsis aggregata"
"Ipomopsis aggregata var. aggregata","Gilia aggregata"
"Ipomopsis congesta var. frutescens","Gilia congesta frutescens"
"Ipomopsis congesta var. frutescens","Gilia congesta"
"Ipomopsis gunnisonii","Gilia gunnisonii"
"Ipomopsis longiflora","Gilia longiflora"
"Ipomopsis polycladon","Gilia polycladon"
"Ipomopsis roseata","Gilia roseata"
"Phlox austromontana var. austromontana","Phlox austromontana"
"Astragalus amphioxys var. amphioxys","Astragalus amphioxys"
"Astragalus ceramicus var. ceramicus","Astragalus ceramicus"
"Astragalus coltonii var. moabensis","Astragalus coltonii"
"Astragalus desperatus var. desperatus","Astragalus desperatus"
"Astragalus flavus var. flavus","Astragalus flavus"
"Astragalus lentiginosus var. palans","Astragalus lentiginosus"
"Astragalus mollissimus var. thompsoniae","Astragalus mollissimus"
"Astragalus praelongus var. ellisiae","Astragalus praelongus"
"Astragalus preussii var. latus","Astragalus preussii"
"Astragalus preussii var. latus","Astragalus preussii preussii"
"Astragalus sabulosus var. vehiculus","Astragalus sabulosus"
"Dalea flavescens var. flavescens","Petalostemon flavescens"
"Dalea oligophylla","Petalostemon occidentale"
"Hedysarum boreale var. boreale","Hedysarum boreale"
"Lupinus argenteus var. argenteus","Lupinus argenteus"
"Lupinus pusillus var. pusillus","Lupinus pusillus"
"Psoralidium lanceolatum var. lanceolatum","Psoralea lanceolata"
"Psoralidium lanceolatum var. lanceolatum","Psoralidium lanceolatum"
"Quercus gambelii var. gambelii","Quercus gambelii"
"Quercus welshii","Quercus ha ii tuckeri"
"Quercus welshii","Quercus undulata"
"Amsonia tomentosa var. stenophylla","Amsonia tomentosa"
"Asclepias cryptoceras var. cryptoceras","Asclepias cryptoceras"
"Galium multiflorum var. coloradoense","Galium coloradoense"
"Castilleja scabrida var. scabrida","Castilleja scabrida"
"Orobanche ludoviciana var. cooperi","Orobanche ludoviciana"
"Penstemon barbatus var. barbatus","Penstemon barbatus"
"Penstemon eatonii var. undosus","Penstemon eatonii"
"Chamaesyce fendleri","Euphorbia fendleri"
"Chamaesyce parryi","Euphorbia parryi"
"Populus fremontii var. fremontii","Populus fremontii"
"Salix eriocephala var. watsonii","Salix lutea"
"Salix exigua var. stenophylla","Salix exigua"
"Salix lucida ssp. caudata","Salix lasiandra"
"Epilobium angustifolium var. canescens","Epilobium angustifolium"
"Epilobium ciliatum","Epilobium adenocaulon"
"Oenothera caespitosa var. marginata","Oenothera caespitosa"
"Oenothera pallida var. pallida","Oenothera pallida"
"Carex siccata","Carex foenea"
"Scirpus pungens var. longispicatus","Scirpus pungens"
"Juncus arcticus","Juncus arcticus balticus"
"Juncus arcticus","Juncus balticus"
"Juncus ensifolius var. brunnescens","Juncus ensifolius"
"Juncus ensifolius var. brunnescens","Juncus saximontanus brunnescens"
"Agropyron cristatum","Agropyron desertorum"
"Agrostis stolonifera","Agrostis alba"
"Aristida purpurea","Aristida fendleriana"
"Aristida purpurea","Aristida longiseta"
"Aristida purpurea","Aristida glauca"
"Bromus carinatus","Bromus marginatus"
"Cenchrus longispinus","Cenchrus pauciflorus"
"Elymus elymoides","Sitanion hystrix"
"Elymus lanceolatus","Agropyron dasystachyum"
"Elymus smithii","Agropyron smithii"
"Erioneuron pilosum","Tridens pilosus"
"Erioneuron pulchellum","Tridens pulchellus"
"Muhlenbergia thurberi","Muhlenbergia curtifolia"
"Panicum acuminatum","Panicum tennesseensis"
"Phragmites australis","Phragmites communis"
"Poa fendleriana","Poa longiligula"
"Schizachyrium scoparium","Andropogon scoparius"
"Sporobolus airoides var. airoides","Sporobolus airoides"
"Stipa comata var. comata","Stipa comata"
"Stipa hymenoides","Oryzopsis hymenoides"
"Stipa neomexicana","Hesperostipa neomexicana"
"Stipa X bloomeri","Oryzopsis X bloomeri"
"Pteridium aquilinum var. pubescens","Pteridium aquilinum"
"Pellaea glabella var. occidentalis","Pellaea glabella"
"Cystopteris fragilis","Cystopteris utahensis"
"Mahonia repens","Berberis fremontii"
"Corydalis aurea var. occidentalis","Corydalis aurea"
"Delphinium andersonii var. scaposum","Delphinium scaposum"
"Delphinium andersonii var. scaposum","Delphinium andersonii"
"Petrophyton caespitosum","Spiraea caespitosa"
"Purshia mexicana var. stansburyana","Purshia mexicana"
"Purshia mexicana var. stansburyana","Cowania mexicana"
"Comandra umbellata var. pallida","Comandra umbellata"
"Phoradendron juniperinum","Phoradendron juniperinum ssp. juniperinum"
"Rhus aromatica var. simplicifolia","Rhus trilobata simplicifolia"
"Rhus aromatica var. trilobata","Rhus trilobata trilobata"
"Rhus aromatica var. trilobata","Rhus aromatica ssp. trilobata"
"Physalis hederifolia var. fendleri","Physalis fendleri"
